"(PDH-TSV 4.0) (Paris, Madrid)(-60)"	"\\DESKTOP-MC0BT1N\Processus(Idle)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(System)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(smss)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(csrss#1)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(wininit)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(csrss)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(winlogon)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(services)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(lsass)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#14)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#13)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(dwm)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#12)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#11)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#10)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#9)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(WUDFHost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#8)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#7)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(dasHost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#6)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#5)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#4)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(spoolsv)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(AppleMobileDeviceService)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#3)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(mDNSResponder)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(vmnat)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(nscp)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(Memory Compression)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(vmnetdhcp)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#2)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(MsMpEng)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(vmware-usbarbitrator64)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(vmware-authd)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(vmware-hostd)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost#1)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(NisSrv)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(sihost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(svchost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(taskhostw)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(explorer#1)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(GoogleCrashHandler)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(RuntimeBroker)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(ShellExperienceHost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(SearchUI)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(SearchIndexer)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(GoogleCrashHandler64)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(Apoint)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(MSASCuiL)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(igfxtray)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(hkcmd)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(igfxpers)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(iTunesHelper)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(iPodService)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(vmware-tray)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(ApMsgFwd)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(ApntEx)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(conhost#4)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(hidfind)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(eclipse)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(explorer)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(OSPPSVC)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(ApplicationFrameHost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(SkypeHost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(TrustedInstaller)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(TiWorker)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(javaw)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(powershell#1)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(cmd#1)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(conhost#3)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(conhost#2)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(powershell)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(typeperf#1)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(cmd)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(conhost#1)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(conhost)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(typeperf)\% Temps utilisateur"	"\\DESKTOP-MC0BT1N\Processus(_Total)\% Temps utilisateur"
"01/08/2018 11:40:29.988"	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "	" "
"01/08/2018 11:40:35.193"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	" "	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	" "	" "	" "	"0"	"6.0047698817498443"	" "	"0"	"0"	"0"	"0"	"6.0047698817498443"
